date,time,mq2_adc,mq2_rs,mq2_ratio,mq2_ppm,mq135_adc,mq135_rs,mq135_ratio,mq135_ppm,mq7_adc,mq7_rs,mq7_ratio,mq7_ppm,label
2026-03-25,06:47:24,,,,,,,,,,,,,0
2026-03-25,06:47:26,,,,,,,,,,,,,0
2026-03-25,06:47:28,,,,,,,,,,,,,0
2026-03-25,06:47:30,,,,,,,,,,,,,0
2026-03-25,06:47:32,,,,,,,,,,,,,0
2026-03-25,06:47:34,,,,,,,,,,,,,0
2026-03-25,06:45:00,1000,15000.5,1.2,50.5,1100,16000.5,1.3,55.5,1200,17000.5,1.4,60.5,2
2026-03-25,06:47:36,,,,,,,,,,,,,0
2026-03-25,06:47:38,,,,,,,,,,,,,0
2026-03-25,06:47:40,,,,,,,,,,,,,0
2026-03-25,06:47:42,,,,,,,,,,,,,0
2026-03-25,06:55:26,400,184750.0,15.84,0.0,2649,10917.33,0.91,1.81,250,307600.0,27.96,0.0,2
2026-03-25,06:55:29,419,175465.41,15.05,0.0,2650,10905.66,0.91,1.81,257,298677.03,27.15,0.0,2
2026-03-25,06:55:31,399,185263.17,15.89,0.0,2632,11117.02,0.93,1.74,248,310241.94,28.2,0.0,2
2026-03-25,06:55:33,405,182222.22,15.63,0.0,2633,11105.2,0.93,1.75,266,287894.75,26.17,0.0,2
2026-03-25,06:55:35,400,184750.0,15.84,0.0,2659,10801.05,0.9,1.85,416,176875.0,16.08,0.0,2
2026-03-25,06:55:37,434,168709.69,14.47,0.01,2710,10221.4,0.85,2.08,400,184750.0,16.8,0.0,2
2026-03-25,06:55:39,421,174536.81,14.97,0.0,2674,10628.27,0.89,1.92,361,206869.8,18.81,0.0,2
2026-03-25,06:55:41,451,161596.45,13.86,0.01,2709,10232.56,0.85,2.08,368,202554.36,18.41,0.0,2
2026-03-25,06:55:43,420,175000.0,15.01,0.0,2674,10628.27,0.89,1.92,403,183225.81,16.66,0.0,2
2026-03-25,06:55:45,452,161194.69,13.82,0.01,2715,10165.75,0.85,2.11,395,187341.77,17.03,0.0,2
2026-03-25,06:55:47,433,169145.5,14.51,0.0,2687,10480.09,0.87,1.97,337,223026.7,20.28,0.0,2
2026-03-25,06:55:49,453,160794.7,13.79,0.01,2740,9890.51,0.82,2.23,338,222307.7,20.21,0.0,2
2026-03-25,06:55:51,443,164875.84,14.14,0.01,2742,9868.71,0.82,2.24,330,228181.81,20.74,0.0,2
2026-03-25,06:55:53,452,161194.69,13.82,0.01,2725,10055.04,0.84,2.16,330,228181.81,20.74,0.0,2
2026-03-25,06:55:55,423,173617.03,14.89,0.0,2687,10480.09,0.87,1.97,306,247647.06,22.51,0.0,2
2026-03-25,06:55:57,441,165714.28,14.21,0.01,2704,10288.46,0.86,2.05,304,249407.89,22.67,0.0,2
2026-03-25,06:55:59,413,178305.09,15.29,0.0,2669,10685.65,0.89,1.89,291,261443.31,23.77,0.0,2
2026-03-25,06:56:01,414,177826.09,15.25,0.0,2656,10835.84,0.9,1.84,279,273548.41,24.87,0.0,2
2026-03-25,06:56:03,431,170023.2,14.58,0.0,2692,10423.48,0.87,2.0,288,264375.0,24.03,0.0,2
2026-03-25,06:56:05,407,181228.5,15.54,0.0,2662,10766.34,0.9,1.86,270,283333.34,25.76,0.0,2
2026-03-25,06:56:07,417,176402.87,15.13,0.0,2704,10288.46,0.86,2.05,277,275667.87,25.06,0.0,2
2026-03-25,06:56:09,427,171803.28,14.73,0.0,2647,10940.69,0.91,1.8,272,281102.94,25.55,0.0,2
2026-03-25,06:56:11,439,166560.36,14.28,0.01,2682,10536.91,0.88,1.95,290,262413.78,23.86,0.0,2
2026-03-25,06:56:13,417,176402.87,15.13,0.0,2664,10743.24,0.9,1.87,275,277818.19,25.26,0.0,2
2026-03-25,06:56:15,442,165294.12,14.18,0.01,2693,10412.18,0.87,2.0,287,265365.84,24.12,0.0,2
2026-03-25,06:56:17,421,174536.81,14.97,0.0,2643,10987.51,0.92,1.79,278,274604.31,24.96,0.0,2
2026-03-25,06:56:19,433,169145.5,14.51,0.0,2676,10605.38,0.88,1.92,277,275667.87,25.06,0.0,2
